Shrt_Desc	Calories
"EGG,WHITE,RAW,FRESH"	126
"EGG,YOLK,RAW,FRSH"	782
"EGG,YOLK,RAW,FRZ,PAST"	679
"EGG,YOLK,RAW,FRZ,SUGARED,PAST"	697
"EGG,WHL,CKD,FRIED"	90
"EGG,WHL,CKD,HARD-BOILED"	211
"EGG,WHOLE,COOKED,OMELET"	23
"EGG,WHL,CKD,POACHED"	72
"EGG,WHL,CKD,SCRMBLD"	328
"EGG,WHOLE,DRIED"	514
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED"	523
"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED"	797
"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED"	402
"EGG,YOLK,DRIED"	455
"EGG,DUCK,WHOLE,FRESH,RAW"	130
"EGG,GOOSE,WHOLE,FRESH,RAW"	266
"EGG,QUAIL,WHOLE,FRESH,RAW"	14
"EGG,TURKEY,WHL,FRSH,RAW"	135
"EGG SUBSTITUTE,POWDER"	44
"BUTTER,WITHOUT SALT"	1628
"CHEESE,PARMESAN,SHREDDED"	21
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)"	83
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A"	137
"MILK,CND,EVAP,W/ VIT A"	42
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D"	434
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D"	243
"CHEESE,GOAT,HARD TYPE"	128
"CHEESE,GOAT,SEMISOFT TYPE"	103
"CHEESE,GOAT,SOFT TYPE"	75
"EGG,YOLK,RAW,FRZ,SALTED,PAST"	624
"CHEESE SUB,MOZZARELLA"	280
"CHEESE SAU,PREP FROM RECIPE"	479
"CHEESE,MEXICAN,QUESO ANEJO"	492
"CHEESE,MEXICAN,QUESO ASADERO"	470
"CHEESE,MEXICAN,QUESO CHIHUAHUA"	494
"CHEESE,LOFAT,CHEDDAR OR COLBY"	228
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY"	525
"EGG,WHL,RAW,FRZ,PAST"	0
"EGG,WHITE,RAW,FRZ,PAST"	0
"EGG,WHITE,DRIED"	0
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D"	123
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D"	102
"SOUR CREAM,REDUCED FAT"	22
"SOUR CREAM,LIGHT"	17
"SOUR CREAM,FAT FREE"	9
"USDA COMMODITY,CHS,CHEDDAR,RED FAT"	319
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR"	73
"PARMESAN CHS TOPPING,FAT FREE"	19
"CHEESE,CREAM,FAT FREE"	19
"YOGURT,CHOC,NONFAT MILK"	190
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU	91
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT	75
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT	31
KRAFT VELVEETA PAST PROCESS CHS SPRD	85
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT	62
KRAFT BREAKSTONE'S RED FAT SOUR CRM	47
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM	29
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)	218
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT)	135
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT)	232
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T)	125
"CREAM,HALF & HALF,FAT FREE"	17
REDDI WIP FAT FREE WHIPPED TOPPING	6
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA"	195
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER"	238
"CHEESE,PARMESAN,DRY GRATED,RED FAT"	265
"CREAM SUB,FLAV,LIQ"	38
"CREAM SUB,FLAV,PDR"	60
"CHEESE,PROVOLONE,RED FAT"	362
"CHEESE,MEXICAN,BLEND,RED FAT"	80
"EGG MIX,USDA CMDTY"	48
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D"	149
"MILK,DRY,WHL,WO/ ADDED VITAMIN D"	635
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D"	340
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D"	50
