Shrt_Desc	Calories
"CEREALS,QUAKER,INST OATMEAL EXPRESS,GOLDEN BROWN SUGAR,DRY"	205
"CEREALS,QUAKER,INST OATMEAL,BANANA BREAD,DRY"	151
"CEREALS,QUAKER,INST OATMEAL EXPRESS,BKD APPL,DRY"	198
"CEREALS,QUAKER,INST OATMEAL EXPRESS CINN ROLL,DRY"	200
"CEREALS RTE,UNCLE SAM CRL"	190
"CEREALS,QUAKER,INST OATMEAL,RAISIN & SPICE,DRY"	155
"CERLS,QUAKER,INST GRIT PRDCT W/ RDEYE GRVY&IMITN HAM BIT,DRY"	97
"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY"	102
"CEREALS,QUAKER,INST GRITS PRODUCT--HAM 'N' CHS"	101
"CEREALS,QUAKER,QUICK OATS W/ IRON,DRY"	148
"CEREALS,QUAKER,WHL WHEAT NAT CRL"	133
"CEREALS RTE,KELLOGG'S,FRUIT HARVEST STRAWBERRY/BLUEBERRY"	107
"CEREALS RTE,KELLG'S,FRSTD MINI-WHTS,MPLE & BRWN SGR,BTE SZE"	185
"CEREALS RTE,KASHI,GOOD FRIENDS,CINNA-RAISIN CRUNCH"	159
"CEREALS RTE,KASHI,ORGANIC PROMISE AUTUMN WHEAT"	183
"CEREALS RTE,KASHI ORGANIC PROMISE,STRAWBERRY FIELDS"	116
"CEREALS RTE,KELLOGG'S,RED SUGAR FRSTD FLAKES CRL"	117
"CEREALS RTE,KELLOGG'S,SPL K PROT PLUS"	101
"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS"	115
"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS"	107
"CEREALS RTE,MALT-O-MEAL HONEY GRAHAM SQUARES"	130
"CEREALS RTE,MALT-O-MEAL,PUFFED WHEAT CRL"	59
"CEREALS RTE,MALT-O-MEAL,RAISIN BRAN CRL"	213
"CEREALS RTE,MALT-O-MEAL,BLUEBERRY MUFFIN TOPS CRL"	133
"CEREALS,MALT-O-MEAL,FARINA HOT WHEAT CRL,DRY"	127
"CEREALS RTE,MALT-O-MEAL,MAPLE & BRWN SGR HOT WHT CRL,DRY"	170
"CEREALS RTE,MALT-O-MEAL,HONEY NUT TOASTY O'S CRL"	117
"CEREALS RTE,MALT-O-MEAL,PUFFED RICE CRL"	60
"CEREALS RTE,MALT-O-MEAL,APPL ZINGS"	130
"CEREALS RTE,MALT-O-MEAL,CINN TOASTERS"	129
"CEREALS RTE,MALT-O-MEAL,COCOA DYNO-BITES"	117
"CEREALS RTE,MALT-O-MEAL,FRSTD MINI SPOONERS"	213
"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES"	109
"CEREALS RTE,NATURE'S PATH,OPTIMUM"	190
"CEREALS RTE,NATURE'S PATH,OPTIMUM SLIM"	180
"CEREALS RTE,RALSTON ENR BRAN FLAKES"	90
"CEREALS RTE,RALSTON CORN BISCUITS"	110
"CEREALS RTE,RALSTON CORN FLAKES"	100
"CEREALS RTE,RALSTON CRISPY HEXAGONS"	110
"CEREALS RTE,USDA CMDTY CORN & RICE (INCLUDES ALL  BRANDS)"	110
"CEREALS RTE,USDA CMDTY RICE CRISPS (INCLUDES ALL  BRANDS)"	107
MILK & CRL BAR	103
"CEREALS,MALT-O-MEAL,PLN,PREP W/ H2O,WO/ SALT"	113
"CEREALS,MALT-O-MEAL,CHOC,PREP W/ H2O,WO/ SALT"	118
"CEREALS RTE,GENERAL MILLS,CHOC LUCKY CHARMS"	106
"CEREALS RTE,KELLOGG,KELLOGG'S CINN MINI SWIRLZ"	122
"CEREALS RTE,KELLOGG,SMORZ"	122
"CEREALS RTE,KELLOGG,SPL K,FRUIT & YOGURT"	117
"CEREALS RTE,KASHI 7 WHL GRAIN FLAKES"	175
"CEREALS RTE,KASHI,HEART TO HEART,WILD BLUEBERRY"	203
"CEREALS RTE,KASHI ORGANIC PROMISE,CINN HARVEST"	185
"CEREALS RTE,KELLOGG'S,FRSTD MINI-WHEATS BITE SIZE STRAWB DEL"	180
"CEREALS RTE,KELLOGG'S,SPL K VANILLA ALMOND"	113
"CEREALS RTE,POST GREAT GRAINS CRANBERRY ALMOND CRUNCH"	191
RICE & WHEAT CRL BAR	90
"CEREALS RTE,QUAKER,QUAKER HONEY GRAHAM LIFE CRL"	119
"CEREALS RTE,QUAKER,CHRISTMAS CRUNCH"	103
"CEREALS RTE,GENERAL MILLS,CHEERIOS,YOGURT BURST,STRAWBERRY"	120
"CEREALS RTE,ROLLED OATS,WHL WHEAT,RICE,MAPLE FLAV,W/ PECANS"	219
"CEREALS RTE,KASHI GO LN CRUNCH!,HONEY ALMOND FLAX"	202
"CEREALS,KASHI GO LN HOT CRL,HEARTY HONEY & CINN,DRY"	152
"CEREALS,KASHI GO LN HOT CRL,CREAMY TRULY VANILLA,DRY"	147
"CEREALS RTE,KASHI GRANOLA,COCOA BEACH CRL"	218
"CEREALS RTE,KASHI GRANOLA,SMMR BERRY CRL"	223
"CEREALS RTE,KASHI GRANOLA,MOUNTAIN MEDLEY CRL"	229
"CEREALS RTE,KASHI 7 WHL GRAIN NUGGETS"	206
"CEREALS,KASHI HEART TO HEART,INST OATMEAL,APPL CINN,DRY"	161
"CEREALS,KASHI HEART TO HEART,INST OATMEAL,GLDN BRWN MPLE,DRY"	162
"CEREALS,CRM OF WHEAT,2 1/2 MINUTE COOK TIME,DRY"	117
"CEREALS,CRM OF WHEAT,2 1/2 MIN,CKD,STOVE-TOP,WO/ SALT"	137
"CEREALS,CRM OF WHEAT,2 1/2 MIN,CKD W/H2O,MICROWAVED"	120
"CEREALS,CRM OF WHEAT,1 MINUTE COOK TIME,DRY"	118
"CEREALS,CRM OF WHEAT,1 MINUTE,CKD W/ H2O,STOVE-TOP,WO/ SALT"	137
"CEREALS,CRM OF WHEAT,1 MINUTE,CKD W/ H2O,MICROWAVED,WO/ SALT"	130
"CEREALS RTE,GENERAL MILLS,25% LESS SUGAR CINN TOAST CRL"	108
"INCAPARINA,DRY MIX (CORN & SOY FLOURS),UNPREP"	34
"CEREALS RTE,GENERAL MILLS,DORA THE EXPLORER"	99
"CEREALS RTE,GENERAL MILLS,FRUITY CHEERIOS"	103
"CEREALS RTE,KELLOGG'S SPL K CHOCOLATEY DELIGHT"	118
"CEREALS RTE,GENERAL MILLS,TOTAL,CRANBERRY CRUNCH"	190
"CEREALS RTE,GENERAL MILLS,25% LESS SUGAR TRIX"	79
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K LOFAT GRANOLA"	196
"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL"	123
"CEREALS RTE,KASHI GOLEAN CRISP TSTD BERRY CRUMBLE"	184
"CEREALS RTE,KASHI HEART TO HEART,WARM CINN"	117
"CEREALS RTE,KASHI ORGANIC PROMISE,ISLAND VANILLA"	193
"CEREALS RTE,GENERAL MILLS,CHEERIOS,BANANA NUT"	105
"CEREALS RTE,GENERAL MILLS,CHEERIOS,CHOC"	102
"CEREALS RTE,GENERAL MILLS,CHOC CHEX"	132
"CEREALS RTE,GENERAL MILLS CINN CHEX"	121
"CEREALS RTE,GENERAL MILLS,FIBER ONE,CARAMEL DELIGHT"	172
"CEREALS RTE,GENERAL MILLS,FIBER ONE,FRSTD SHREDDED WHEAT"	193
"CEREALS RTE,GENERAL MILLS,FIBER ONE,HONEY CLUSTERS"	157
"CEREALS RTE,GENERAL MILLS,FIBER ONE,RAISIN BRAN CLUSTERS"	172
"CEREALS RTE,GENERAL MILLS,TOTAL,BLUEBERRY POMEGRANATE"	173
"CEREALS RTE,GENERAL MILLS,WHEATIES,FUEL"	206
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K,CINN PECAN"	113
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K BLUEBERRY"	109
"CEREALS RTE,KASHI,KASHI U"	202
"CEREALS RTE,BEAR NAKED BANANA NUT"	217
"CEREALS RTE,BEAR NAKED CRANBERRY RAISIN"	210
"CEREALS RTE,KASHI BERRY BLOSSOM"	99
"CEREALS RTE,KASHI GOLDEN GOODNESS"	213
"CEREALS RTE,KASHI HONEY SUNSHINE"	103
"CEREALS RTE,KELLOGG'S FIBERPLUS CINN OAT CRUNCH"	111
"CEREALS RTE,KELLOGG'S FIBERPLUS BERRY YOGURT CRUNCH"	167
"CEREALS RTE,KELLOGG'S SPL K MULTIGRAIN OATS & HONEY"	105
"CEREALS RTE,KELLOGG'S CRUNCHY NUT RSTD NUT & HONEY O'S"	100
"CEREALS RTE,KELLOGG'S CRUNCHY NUT GOLDEN HONEY NUT FLAKES"	120
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS BITE SZ CINN STREUS"	180
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS BITE SZ BLUEB MUFFIN"	181
"CEREALS RTE,KELLOGG'S POPS MIXIT CRL,ALL FLAVORS"	109
"CEREALS RTE,KELLOGG'S CORN FLAKES,SIMPLY CINN"	117
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHTS TOUCH FRT MDL MXD BER"	188
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S HALLOWEEN CRUNCH"	104
"QUAKER,NAT GRANOLA APPL CRANBERRY ALMOND"	205
"CEREALS RTE,QUAKER,MAPLE BROWN SUGAR LIFE CRL"	119
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S OOPS! ALL BERRIES CRL"	126
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS LITTLE BITES,CHOC"	195
"CEREALS RTE,QUAKER SQUARES,GOLDEN MAPLE"	213
"CEREALS RTE,POST HONEY BUNCHES OF OATS W/ VANILLA BUNCHES"	220
"CEREALS RTE,GENERAL MILLS,COCOA PUFFS,25% RED SUGAR"	92
"CEREALS RTE,GENERAL MILLS,SPRINKLES COOKIE CRISP"	101
"CEREALS RTE,GENERAL MILLS,OAT CLUSTER CHEERIOS CRUNCH"	102
"CEREALS,QUAKER,INST OATMEAL,CINN SPICE,RED SUGAR"	122
"CEREALS,QUAKER,INST OATMEAL ORGANIC,REG"	150
"CEREALS,QUAKER,INST OATMEAL,FRUIT & CRM,RED SUGAR"	124
"CEREALS,QUAKER,INST OATMEAL,APPL & CINN,RED SUGAR"	107
"CEREALS RTE,GENERAL MILLS,HONEY KIX"	118
"CEREALS RTE,GENERAL MILLS,COCOA PUFFS COMBOS,CHOC & VANILLA"	105
"CEREALS RTE,BEAR NAKED NUT CLUSTER CRUNCH,HONEY ALMOND"	181
"CEREALS RTE,BEAR NAKED NUT CLUSTER CRUNCH,MAPLE PECAN WALNUT"	221
"CEREALS RTE,KASHI INDIGO MORNING"	98
"CEREALS RTE,KASHI SIMPLY MAIZE"	100
"CEREALS RTE,KASHI GOLEAN CRISP CINN CRUMBLE"	195
"CEREALS RTE,GENERAL MILLS TOTAL PLUS OMEGA3,HONEY ALMOND FLX"	194
"CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES"	67
"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL"	123
"CEREALS RTE,KELLOGG'S RICE KRISPIES,GLUTEN FREE"	115
"ACEROLA,(WEST INDIAN CHERRY),RAW"	31
"ACEROLA JUICE,RAW"	56
"APPLES,RAW,WITH SKIN"	65
"APPLES,RAW,WITHOUT SKIN"	53
"APPLES,RAW,WO/SKN,CKD,BLD"	91
"APPLES,RAW,WO/ SKN,CKD,MICROWAVE"	95
"APPLES,CND,SWTND,SLICED,DRND,UNHTD"	137
"APPLES,CND,SWTND,SLICED,DRND,HTD"	137
"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD"	208
"APPLES,DEHYD (LO MOIST),SULFURED,STWD"	143
"APPLES,DRIED,SULFURED,UNCKD"	209
"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR"	145
"APPLES,DRIED,SULFURED,STWD,W/ SUGAR"	232
"APPLES,FRZ,UNSWTND,UNHTD"	83
"APPLES,FRZ,UNSWTND,HTD"	97
"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C"	114
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C"	350
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C"	112
"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)"	102
"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)"	167
"APRICOTS,RAW"	74
"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS"	66
"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS"	50
"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS"	117
"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS"	121
"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS"	159
"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS"	214
"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS"	214
"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS"	236
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD"	381
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD"	314
"APRICOTS,DRIED,SULFURED,UNCKD"	313
"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR"	213
"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR"	305
"APRICOTS,FROZEN,SWEETENED"	237
"APRICOT NECTAR,CND,WO/ VIT C"	141
"AVOCADOS,RAW,ALL COMM VAR"	240
"AVOCADOS,RAW,CALIFORNIA"	384
"AVOCADOS,RAW,FLORIDA"	276
"BANANAS,RAW"	200
"BANANAS,DEHYD,OR BANANA PDR"	346
"BLACKBERRIES,RAW"	62
"BLACKBERRY JUC,CND"	95
"BLACKBERRIES,CND,HVY SYRUP,SOL&LIQUIDS"	236
"BLACKBERRIES,FRZ,UNSWTND"	97
"BLUEBERRIES,RAW"	84
"BLUEBERRIES,CND,HVY SYRUP,SOL&LIQUIDS"	225
"BLUEBERRIES,WILD,FRZ"	71
"BLUEBERRIES,FRZ,UNSWTND"	79
"BLUEBERRIES,FRZ,SWTND"	196
"BOYSENBERRIES,CND,HVY SYRUP"	225
"BOYSENBERRIES,FRZ,UNSWTND"	66
"BREADFRUIT,RAW"	227
"CARAMBOLA,(STARFRUIT),RAW"	41
"CARISSA,(NATAL-PLUM),RAW"	93
"CHERIMOYA,RAW"	176
"CHERRIES,SOUR,RED,RAW"	78
"CHERRIES,SOUR,RED,CND,H2O PK,SOL&LIQUIDS (INCL USDA CMDTY)"	88
"CHERRIES,SOUR,RED,CND,LT SYRUP PK,SOL&LIQUIDS"	189
"CHERRIES,SOUR,RED,CND,HVY SYRUP PK,SOL&LIQUIDS"	233
"CHERRIES,SOUR,RED,CND,EX HVY SYRUP PK,SOL&LIQUIDS"	298
"CHERRIES,SOUR,RED,FRZ,UNSWTND"	71
"CHERRIES,SWEET,RAW"	87
"CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS"	114
"CHERRIES,SWT,CND,JUC PK,SOL&LIQUIDS"	135
"CHERRIES,SWT,CND,LT SYRUP PK,SOL&LIQUIDS"	169
"CHERRIES,SWT,CND,PITTED,HVY SYRUP PK,SOL & LIQUIDS"	210
"CHERRIES,SWT,CND,EX HVY SYRUP PK,SOL&LIQUIDS"	266
"CHERRIES,SWT,FRZ,SWTND"	231
"CRABAPPLES,RAW"	84
"CRANBERRIES,RAW"	51
"CRANBERRIES,DRIED,SWTND"	123
"CRANBERRY SAU,CND,SWTND"	418
"CRANBERRY-ORANGE RELISH,CND"	490
"CURRANTS,EUROPEAN BLACK,RAW"	71
"CURRANTS,RED&WHITE,RAW"	63
"CURRANTS,ZANTE,DRIED"	408
"CUSTARD-APPLE,(BULLOCK'S-HEART),RAW"	0
"DATES,DEGLET NOOR"	415
"ELDERBERRIES,RAW"	106
"FIGS,RAW"	47
"FIGS,CND,H2O PK,SOL&LIQUIDS"	131
"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS"	174
"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS"	228
"FIGS,CND,EX HVY SYRUP PK,SOL&LIQUIDS"	279
"FIGS,DRIED,UNCOOKED"	371
"FIGS,DRIED,STEWED"	277
"FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS"	76
"FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS"	109
"FRUIT COCKTAIL,CND,EX LT SYRUP,SOL&LIQUIDS"	55
"FRUIT COCKTAIL,CND,LT SYRUP,SOL&LIQUIDS"	138
"FRUIT COCKTAIL,CND,HVY SYRUP,SOL&LIQUIDS"	181
"FRUIT COCKTAIL,CND,EX HVY SYRUP,SOL&LIQUIDS"	229
"FRUIT SALAD,CND,H2O PK,SOL&LIQUIDS"	74
"FRUIT SALAD,CND,JUC PK,SOL&LIQUIDS"	125
"FRUIT SALAD,CND,LT SYRUP,SOL&LIQUIDS"	146
"FRUIT SALAD,CND,HVY SYRUP,SOL&LIQUIDS"	186
"FRUIT SALAD,CND,EX HVY SYRUP,SOL&LIQUIDS"	228
"GOOSEBERRIES,RAW"	66
"GOOSEBERRIES,CND,LT SYRUP PK,SOL&LIQUIDS"	184
"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS"	74
"GRAPEFRUIT,RAW,PINK&RED,ALL AREAS"	97
"GRAPEFRUIT,RAW,PINK&RED,CALIFORNIA&ARIZONA"	85
"GRAPEFRUIT,RAW,PINK & RED,FLORIDA"	69
"GRAPEFRUIT,RAW,WHITE,ALL AREAS"	76
"GRAPEFRUIT,RAW,WHITE,CALIFORNIA"	85
"GRAPEFRUIT,RAW,WHITE,FLORIDA"	74
"GRAPEFRUIT,SECTIONS,CND,H2O PK,SOL&LIQUIDS"	88
"GRAPEFRUIT,SECTIONS,CND,JUC PK,SOL&LIQUIDS"	92
"GRAPEFRUIT,SECTIONS,CND,LT SYRUP PK,SOL&LIQUIDS"	152
"GRAPEFRUIT JUC,WHITE,CND,UNSWTND"	94
"GRAPEFRUIT JUC,WHITE,CND,SWTND"	115
"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,UNDIL"	302
"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,DIL W/ 3 VOLUME H2O"	101
"GRAPEFRUIT JUC,WHITE,RAW"	96
"GRAPES,MUSCADINE,RAW"	3
"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C"	152
"GRAPES,AMERICAN TYPE (SLIP SKN),RAW"	62
"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW"	104
"GRAPES,CND,THOMPSON SEEDLESS,H2O PK,SOL&LIQUIDS"	98
"GRAPES,CND,THOMPSON SEEDLESS,HVY SYRUP PK,SOL&LIQUIDS"	195
"GRAPE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C"	152
"GRAPE JUC COCKTAIL,FRZ CONC,UNDIL,W/ ADDED VIT C"	387
"GRAPE JUC COCKTAIL,FRZ CONC,DIL W/ 3 VOL H2O,W/ ADDED VIT C"	128
"GROUNDCHERRIES,(CAPE-GOOSEBERRIES OR POHA),RAW"	74
"GUAVAS,COMMON,RAW"	112
"GUAVAS,STRAWBERRY,RAW"	168
"GUAVA SAUCE,COOKED"	86
"JACKFRUIT,RAW"	157
"JAVA-PLUM,(JAMBOLAN),RAW"	81
"JUJUBE,RAW"	0
"JUJUBE,DRIED"	0
"KIWIFRUIT,GRN,RAW"	110
"KUMQUATS,RAW"	13
"LEMONS,RAW,WITHOUT PEEL"	61
"LEMON JUICE,RAW"	54
"LEMON JUC,CND OR BTLD"	51
"LEMON JUC,FRZ,UNSWTND,SINGLE STRENGTH"	54
"LEMON PEEL,RAW"	3
"LIMES,RAW"	20
"LIME JUICE,RAW"	61
"LIME JUC,CND OR BTLD,UNSWTND"	52
"LITCHIS,RAW"	125
"LITCHIS,DRIED"	7
"LOGANBERRIES,FROZEN"	81
"LONGANS,RAW"	2
"LONGANS,DRIED"	5
"LOQUATS,RAW"	70
"MAMMY-APPLE,(MAMEY),RAW"	431
"MANGOS,RAW"	99
"MANGOSTEEN,CND,SYRUP PK"	143
"MELONS,CANTALOUPE,RAW"	60
"MELONS,CASABA,RAW"	48
"MELONS,HONEYDEW,RAW"	64
"MELON BALLS,FROZEN"	57
"MULBERRIES,RAW"	60
"NECTARINES,RAW"	63
"OHELOBERRIES,RAW"	39
"OLIVES,RIPE,CND (SMALL-EXTRA LRG)"	10
"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)"	7
"OLIVES,PICKLED,CND OR BTLD,GRN"	4
"ORANGES,RAW,ALL COMM VAR"	85
"ORANGES,RAW,CALIFORNIA,VALENCIAS"	88
"ORANGES,RAW,NAVELS"	81
"ORANGES,RAW,FLORIDA"	85
"ORANGES,RAW,WITH PEEL"	107
"ORANGE JUICE,RAW"	112
"ORANGE JUC,CND,UNSWTND"	117
"ORANGE JUC,CHILLED,INCL FROM CONC"	122
"ORANGE JUC,CHILLED,INCL FROM CONC,FORT W/ CA & VITAMIN D"	117
"ORANGE JUC,CHILLED,INCL FROM CONC,FORT W/ CA"	117
"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL"	452
"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O"	112
"ORANGE PEEL,RAW"	6
"ORANGE-GRAPEFRUIT JUC,CND,UNSWTND"	106
"TANGERINES,(MANDARIN ORANGES),RAW"	103
"TANGERINES,(MANDARIN ORANGES),CND,JUC PK"	92
"TANGERINES,(MANDARIN ORANGES),CND,LT SYRUP PK"	154
"TANGERINE JUICE,RAW"	106
"TANGERINE JUC,CND,SWTND"	125
"TANGERINE JUC,FRZ CONC,SWTND,UNDIL"	345
"TANGERINE JUC,FRZ CONC,SWTND,DIL W/3 VOLUME H2O"	111
"PAPAYAS,RAW"	62
"PAPAYA,CND,HVY SYRUP,DRND"	80
"PAPAYA NECTAR,CANNED"	143
"PASSION-FRUIT,(GRANADILLA),PURPLE,RAW"	229
"PASSION-FRUIT JUC,PURPLE,RAW"	126
"PASSION-FRUIT JUC,YEL,RAW"	148
"PEACHES,RAW"	60
"PEACHES,CND,H2O PK,SOL&LIQUIDS"	59
"PEACHES,CND,JUC PK,SOL&LIQUIDS"	110
"PEACHES,CND,EX LT SYRUP,SOL&LIQUIDS"	104
"PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"	136
"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS"	194
"PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS"	252
"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS"	182
"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,UNCKD"	377
"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,STWD"	322
"PEACHES,DRIED,SULFURED,UNCKD"	382
"PEACHES,DRIED,SULFURED,STWD,WO/ SUGAR"	199
"PEACHES,DRIED,SULFURED,STWD,W/ SUGAR"	278
"PEACHES,FRZ,SLICED,SWTND"	235
"PEACH NECTAR,CND,WO/ VIT C"	134
"PEARS,RAW"	84
"PEARS,CND,H2O PK,SOL&LIQUIDS"	71
"PEARS,CND,JUC PK,SOL&LIQUIDS"	124
"PEARS,CND,EX LT SYRUP PK,SOL&LIQUIDS"	116
"PEARS,CND,LT SYRUP PK,SOL&LIQUIDS"	143
"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS"	197
"PEARS,CND,EX HVY SYRUP PK,SOL&LIQUIDS"	258
"PEARS,DRIED,SULFURED,UNCKD"	472
"PEARS,DRIED,SULFURED,STWD,WO/ SUGAR"	324
"PEARS,DRIED,SULFURED,STWD,W/ SUGAR"	392
"PEAR NECTAR,CND,WO/ VIT C"	150
"PERSIMMONS,JAPANESE,RAW"	118
"PERSIMMONS,JAPANESE,DRIED"	93
"PERSIMMONS,NATIVE,RAW"	32
"PINEAPPLE,RAW,ALL VAR"	83
"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS"	79
"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS"	149
"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS"	131
"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS"	198
"PINEAPPLE,CND,EX HVY SYRUP PK,SOL&LIQUIDS"	216
"PINEAPPLE,FRZ,CHUNKS,SWTND"	211
"PINEAPPLE JUC,CND,UNSWTND,WO/ VIT C"	133
"PINEAPPLE JUC,FRZ CONC,UNSWTND,UNDIL"	387
"PINEAPPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O"	128
"PITANGA,(SURINAM-CHERRY),RAW"	57
"PLANTAINS,RAW"	181
"PLANTAINS,COOKED"	232
"PLUMS,RAW"	76
"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS"	102
"PLUMS,CND,PURPLE,JUC PK,SOL&LIQUIDS"	146
"PLUMS,CND,PURPLE,LT SYRUP PK,SOL&LIQUIDS"	159
"PLUMS,CND,PURPLE,HVY SYRUP PK,SOL&LIQUIDS"	230
"PLUMS,CND,PURPLE,EX HVY SYRUP PK,SOL&LIQUIDS"	264
"POMEGRANATES,RAW"	234
"PRICKLY PEARS,RAW"	61
"PRUNES,CND,HVY SYRUP PK,SOL&LIQUIDS"	246
"PRUNES,DEHYD (LOW-MOISTURE),UNCKD"	447
"PRUNES,DEHYD (LOW-MOISTURE),STWD"	316
"PLUMS,DRIED (PRUNES),UNCKD"	418
"PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR"	265
"PLUMS,DRIED (PRUNES),STWD,W/ ADDED SUGAR"	308
"PRUNE JUICE,CANNED"	182
"PUMMELO,RAW"	72
"QUINCES,RAW"	52
"RAISINS,GOLDEN SEEDLESS"	498
"RAISINS,SEEDLESS"	493
"RAISINS,SEEDED"	488
"RAMBUTAN,CND,SYRUP PK"	123
"RASPBERRIES,RAW"	64
"RASPBERRIES,CND,RED,HVY SYRUP PK,SOL&LIQUIDS"	233
"RASPBERRIES,FRZ,RED,SWTND"	258
"RHUBARB,RAW"	26
"RHUBARB,FROZEN,UNCOOKED"	29
"RHUBARB,FRZ,CKD,W/SUGAR"	278
"ROSELLE,RAW"	28
"ROSE-APPLES,RAW"	0
"SAPODILLA,RAW"	200
"SAPOTE,MAMEY,RAW"	217
"SOURSOP,RAW"	149
"STRAWBERRIES,RAW"	49
"STRAWBERRIES,CND,HVY SYRUP PK,SOL&LIQUIDS"	234
"STRAWBERRIES,FRZ,UNSWTND"	77
"STRAWBERRIES,FRZ,SWTND,WHL"	199
"STRAWBERRIES,FRZ,SWTND,SLICED"	245
"SUGAR-APPLES,(SWEETSOP),RAW"	235
"TAMARINDS,RAW"	287
"FRUIT SALAD,TROPICAL,CND,HVY SYRUP,SOL&LIQUIDS"	221
"WATERMELON,RAW"	46
"MARASCHINO CHERRIES,CND,DRND"	8
"FEIJOA,RAW"	134
"PEARS,ASIAN,RAW"	51
"FRUIT COCKTAIL,CND,HVY SYRUP,DRND"	150
"BLUEBERRIES,CND,LT SYRUP,DRND"	215
"BLUEBERRIES,WILD,CND,HVY SYRUP,DRND"	341
"PINEAPPLE,CND,JUC PK,DRND"	109
"APRICOTS,CND,HVY SYRUP,DRND"	182
"CHERRIES,SWT,CND,PITTED,HVY SYRUP,DRND"	149
"PEACHES,CND,HVY SYRUP,DRND"	160
"PEARS,CND,HVY SYRUP,DRND"	149
"PLUMS,CND,HVY SYRUP,DRND"	163
"TANGERINES,(MANDARIN ORANGES),CND,JUC PK,DRND"	72
